Land + Ocean anomaly using air temperature above sea ice        ,,,,,,,,,,,Land + Ocean using water temperature below sea ice,,,,
Year, Annual Anomaly, Annual Unc., Five-year Anomaly, Five-year Unc.,,,,,,,Year, Annual Anomaly, Annual Unc., Five-year Anomaly, Five-year Unc.
1850,-0.532,0.154,NaN,NaN,,,,,,,1850,-0.481,0.142,NaN,NaN
1851,-0.405,0.169,NaN,NaN,,,,,,,1851,-0.372,0.153,NaN,NaN
1852,-0.395,0.165,-0.423,0.121,,,,,,,1852,-0.352,0.15,-0.383,0.11
1853,-0.418,0.158,-0.384,0.109,,,,,,,1853,-0.38,0.143,-0.345,0.1
1854,-0.363,0.142,-0.4,0.09,,,,,,,1854,-0.33,0.13,-0.359,0.084
1855,-0.34,0.129,-0.443,0.089,,,,,,,1855,-0.291,0.121,-0.398,0.083
1856,-0.483,0.129,-0.451,0.089,,,,,,,1856,-0.443,0.119,-0.407,0.083
1857,-0.608,0.137,-0.46,0.089,,,,,,,1857,-0.549,0.127,-0.416,0.084
1858,-0.463,0.136,-0.489,0.09,,,,,,,1858,-0.422,0.126,-0.447,0.085
1859,-0.408,0.132,-0.507,0.094,,,,,,,1859,-0.376,0.124,-0.463,0.09
1860,-0.482,0.148,-0.517,0.099,,,,,,,1860,-0.446,0.137,-0.471,0.096
1861,-0.575,0.135,-0.51,0.104,,,,,,,1861,-0.524,0.131,-0.462,0.103
1862,-0.659,0.136,-0.519,0.105,,,,,,,1862,-0.586,0.134,-0.469,0.106
1863,-0.427,0.164,-0.493,0.111,,,,,,,1863,-0.379,0.162,-0.443,0.115
1864,-0.452,0.13,-0.438,0.114,,,,,,,1864,-0.41,0.127,-0.39,0.119
1865,-0.354,0.155,-0.361,0.118,,,,,,,1865,-0.318,0.157,-0.324,0.124
1866,-0.298,0.153,-0.329,0.118,,,,,,,1866,-0.259,0.152,-0.293,0.122
1867,-0.277,0.149,-0.295,0.119,,,,,,,1867,-0.257,0.149,-0.263,0.12
1868,-0.264,0.154,-0.296,0.105,,,,,,,1868,-0.221,0.148,-0.266,0.105
1869,-0.281,0.152,-0.311,0.094,,,,,,,1869,-0.26,0.14,-0.28,0.093
1870,-0.36,0.108,-0.325,0.082,,,,,,,1870,-0.333,0.106,-0.291,0.081
1871,-0.374,0.105,-0.335,0.075,,,,,,,1871,-0.33,0.103,-0.303,0.073
1872,-0.345,0.115,-0.356,0.076,,,,,,,1872,-0.311,0.109,-0.326,0.074
1873,-0.314,0.117,-0.372,0.073,,,,,,,1873,-0.279,0.112,-0.337,0.071
1874,-0.389,0.107,-0.386,0.072,,,,,,,1874,-0.375,0.105,-0.352,0.071
1875,-0.438,0.095,-0.328,0.073,,,,,,,1875,-0.39,0.095,-0.296,0.072
1876,-0.444,0.095,-0.257,0.07,,,,,,,1876,-0.402,0.095,-0.231,0.069
1877,-0.056,0.1,-0.239,0.066,,,,,,,1877,-0.035,0.1,-0.208,0.066
1878,0.043,0.1,-0.223,0.066,,,,,,,1878,0.045,0.099,-0.193,0.066
1879,-0.299,0.09,-0.186,0.065,,,,,,,1879,-0.259,0.089,-0.159,0.065
1880,-0.359,0.098,-0.238,0.064,,,,,,,1880,-0.316,0.096,-0.204,0.063
1881,-0.26,0.093,-0.32,0.061,,,,,,,1881,-0.23,0.091,-0.281,0.06
1882,-0.314,0.088,-0.366,0.062,,,,,,,1882,-0.262,0.088,-0.322,0.061
1883,-0.367,0.084,-0.395,0.062,,,,,,,1883,-0.336,0.083,-0.348,0.06
1884,-0.529,0.087,-0.451,0.062,,,,,,,1884,-0.464,0.084,-0.399,0.059
1885,-0.505,0.095,-0.5,0.061,,,,,,,1885,-0.45,0.089,-0.445,0.058
1886,-0.538,0.09,-0.5,0.062,,,,,,,1886,-0.484,0.085,-0.442,0.059
1887,-0.561,0.077,-0.441,0.062,,,,,,,1887,-0.491,0.077,-0.39,0.058
1888,-0.367,0.081,-0.444,0.061,,,,,,,1888,-0.323,0.08,-0.394,0.058
1889,-0.234,0.084,-0.419,0.059,,,,,,,1889,-0.202,0.084,-0.37,0.058
1890,-0.519,0.094,-0.398,0.06,,,,,,,1890,-0.469,0.093,-0.355,0.059
1891,-0.414,0.086,-0.413,0.059,,,,,,,1891,-0.364,0.089,-0.372,0.059
1892,-0.455,0.088,-0.454,0.058,,,,,,,1892,-0.418,0.089,-0.411,0.059
1893,-0.445,0.082,-0.426,0.06,,,,,,,1893,-0.407,0.085,-0.384,0.061
1894,-0.44,0.087,-0.398,0.062,,,,,,,1894,-0.394,0.088,-0.356,0.062
1895,-0.374,0.091,-0.357,0.063,,,,,,,1895,-0.337,0.092,-0.319,0.063
1896,-0.273,0.089,-0.359,0.063,,,,,,,1896,-0.224,0.09,-0.321,0.062
1897,-0.255,0.091,-0.327,0.062,,,,,,,1897,-0.233,0.09,-0.292,0.061
1898,-0.453,0.084,-0.287,0.06,,,,,,,1898,-0.415,0.084,-0.256,0.06
1899,-0.282,0.084,-0.281,0.061,,,,,,,1899,-0.252,0.084,-0.257,0.059
1900,-0.172,0.08,-0.307,0.059,,,,,,,1900,-0.156,0.082,-0.28,0.058
1901,-0.244,0.085,-0.313,0.058,,,,,,,1901,-0.229,0.085,-0.289,0.057
1902,-0.384,0.08,-0.362,0.056,,,,,,,1902,-0.346,0.082,-0.337,0.056
1903,-0.484,0.082,-0.4,0.056,,,,,,,1903,-0.46,0.083,-0.374,0.056
1904,-0.526,0.077,-0.41,0.055,,,,,,,1904,-0.496,0.079,-0.381,0.055
1905,-0.364,0.08,-0.427,0.055,,,,,,,1905,-0.34,0.081,-0.397,0.054
1906,-0.29,0.08,-0.426,0.053,,,,,,,1906,-0.265,0.081,-0.397,0.053
1907,-0.468,0.078,-0.43,0.053,,,,,,,1907,-0.422,0.079,-0.398,0.053
1908,-0.482,0.077,-0.46,0.053,,,,,,,1908,-0.461,0.079,-0.426,0.052
1909,-0.543,0.076,-0.508,0.051,,,,,,,1909,-0.503,0.076,-0.478,0.051
1910,-0.517,0.075,-0.508,0.05,,,,,,,1910,-0.479,0.077,-0.478,0.05
1911,-0.531,0.072,-0.496,0.048,,,,,,,1911,-0.523,0.074,-0.463,0.048
1912,-0.466,0.07,-0.437,0.046,,,,,,,1912,-0.425,0.072,-0.407,0.047
1913,-0.421,0.067,-0.37,0.046,,,,,,,1913,-0.387,0.069,-0.342,0.047
1914,-0.249,0.071,-0.35,0.047,,,,,,,1914,-0.22,0.074,-0.316,0.049
1915,-0.185,0.078,-0.366,0.05,,,,,,,1915,-0.156,0.082,-0.329,0.052
1916,-0.43,0.082,-0.358,0.053,,,,,,,1916,-0.393,0.086,-0.32,0.055
1917,-0.544,0.082,-0.369,0.055,,,,,,,1917,-0.492,0.085,-0.335,0.058
1918,-0.383,0.08,-0.389,0.056,,,,,,,1918,-0.342,0.082,-0.358,0.058
1919,-0.303,0.081,-0.347,0.054,,,,,,,1919,-0.291,0.086,-0.32,0.056
1920,-0.286,0.078,-0.3,0.051,,,,,,,1920,-0.274,0.081,-0.281,0.053
1921,-0.218,0.071,-0.282,0.05,,,,,,,1921,-0.204,0.075,-0.268,0.052
1922,-0.31,0.073,-0.277,0.048,,,,,,,1922,-0.293,0.074,-0.264,0.049
1923,-0.29,0.069,-0.268,0.048,,,,,,,1923,-0.279,0.071,-0.254,0.049
1924,-0.282,0.068,-0.244,0.048,,,,,,,1924,-0.27,0.07,-0.228,0.049
