"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-01","5.14",",,W","0.00","T,,W,2400",,,"0.0","T,,W","2.0",",,W","18","H,,S","22",",,W","14",",,W",,,"   20",",,W","  360",",,W","10.1",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-02","7.38",",,W","0.00",",,W,2400",,,"0.0",",,W","2.0",",,W","22","H,,S","24",",,W","20",",,W",,,"   40",",,W","   40",",,W","13.0",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-03","6.71",",,W","0.00",",,W,2400",,,"0.0",",,W","2.0",",,W","24","H,,S","30",",,W","21",",,W",,,"   40",",,W","   70",",,W","12.1",",,W","14.1",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-04","6.93",",,W","0.00","T,,W,2400",,,"0.0","T,,W","2.0",",,W","25","H,,S","31",",,W","20",",,W",,,"   50",",,W","   50",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-05","7.38",",,W","0.04",",,W,2400",,,"0.0","T,,W","2.0",",,W","31","H,,S","36",",,W","28",",,W",,,"  230",",,W","  230",",,W","16.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-06","6.71",",,W","0.04",",,W,2400",,,"0.0","T,,W","2.0",",,W","32","H,,S","34",",,W","30",",,W",,,"  220",",,W","  190",",,W","12.1",",,W","14.1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-07","4.70",",,W","0.06",",,W,2400",,,"0.2",",,W","2.0",",,W","33","H,,S","37",",,W","32",",,W",,,"  210",",,W","  210",",,W","10.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-08","5.37",",,W","0.00","T,,W,2400",,,"0.0","T,,W","2.0",",,W","34","H,,S","35",",,W","32",",,W",,,"   70",",,W","   50",",,W","10.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-09","8.05",",,W","0.33",",,W,2400",,,"0.0","T,,W","2.0",",,W","35","H,,S","40",",,W","32",",,W",,,"  220",",,W","  220",",,W","17.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-10","13.20",",,W","0.00","T,,W,2400",,,"0.0","T,,W","1.2",",,W","33","H,,S","37",",,W","30",",,W",,,"  220",",,W","  210",",,W","19.9",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-11","4.70",",,W","0.70",",,W,2400",,,"6.3",",,W","0.0","T,,W","33","H,,S","33",",,W","31",",,W",,,"   60",",,W","   70",",,W","8.9",",,W","12.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-12","3.58",",,W","0.01",",,W,2400",,,"0.2",",,W","5.9",",,W","32","H,,S","37",",,W","32",",,W",,,"  210",",,W","  220",",,W","17.0",",,W","21.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-13","5.59",",,W","0.03",",,W,2400",,,"0.0",",,W","2.0",",,W","37","H,,S","44",",,W","34",",,W",,,"  210",",,W","  210",",,W","15.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-14","7.61",",,W","0.00",",,W,2400",,,"0.0",",,W","1.2",",,W","35","H,,S","41",",,W","30",",,W",,,"   50",",,W","   50",",,W","14.1",",,W","16.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-15","8.50",",,W","0.00",",,W,2400",,,"0.0",",,W","1.2",",,W","34","H,,S","44",",,W","27",",,W",,,"   70",",,W","   70",",,W","18.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-16","5.37",",,W","0.09",",,W,2400",,,"0.0",",,W","1.2",",,W","35","H,,S","38",",,W","30",",,W",,,"  160",",,W","  160",",,W","19.9",",,W","23.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-17","6.71",",,W","0.03",",,W,2400",,,"0.0",",,W","0.0","T,,W","34","H,,S","42",",,W","32",",,W",,,"   60",",,W","  110",",,W","13.0",",,W","15.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-18","11.86",",,W","0.33",",,W,2400",,,"0.0",",,W","0.0","T,,W","39","H,,S","44",",,W","32",",,W",,,"  200",",,W","  200",",,W","25.9",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-19","9.62",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0","T,,W","35","H,,S","38",",,W","32",",,W",,,"  210",",,W","  200",",,W","16.1",",,W","19.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-20","9.17",",,W","0.01",",,W,2400",,,"0.1",",,W","0.0","T,,W","34","H,,S","37",",,W","30",",,W",,,"  200",",,W","  210",",,W","16.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-21","10.96",",,W","0.05",",,W,2400",,,"0.0","T,,W","0.0","T,,W","34","H,,S","39",",,W","30",",,W",,,"  200",",,W","  200",",,W","19.9",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-22","11.18",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0","T,,W","35","H,,S","38",",,W","30",",,W",,,"  220",",,W","  220",",,W","21.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-23","6.71",",,W","0.33",",,W,2400",,,"0.7",",,W","0.0",",,W","32","H,,S","38",",,W","27",",,W",,,"  160",",,W","  150",",,W","15.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-24","11.63",",,W","0.33",",,W,2400",,,"0.0",",,W","0.0",",,W","37","H,,S","42",",,W","35",",,W",,,"  240",",,W","  250",",,W","28.0",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-25","10.51",",,W","0.04",",,W,2400",,,"0.1",",,W","0.0",",,W","37","H,,S","40",",,W","31",",,W",,,"  210",",,W","  210",",,W","21.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-26","13.20",",,W","0.01",",,W,2400",,,"0.2",",,W","0.0",",,W","33","H,,S","37",",,W","30",",,W",,,"  220",",,W","  230",",,W","23.0",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-27","13.20",",,W","0.04",",,W,2400",,,"0.3",",,W","0.0",",,W","35","H,,S","45",",,W","33",",,W",,,"  230",",,W","  230",",,W","29.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-28","5.37",",,W","0.01",",,W,2400",,,"0.0","T,,W","0.0",",,W","37","H,,S","42",",,W","33",",,W",,,"  150",",,W","  150",",,W","13.0",",,W","17.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-29","12.97",",,W","0.07",",,W,2400",,,"0.0",",,W","0.0",",,W","42","H,,S","53",",,W","35",",,W",,,"  220",",,W","  200",",,W","42.9",",,W","53.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-30","16.11",",,W","0.00","T,,W,2400",,,"0.0",",,W","0.0",",,W","42","H,,S","45",",,W","32",",,W",,,"  230",",,W","  220",",,W","28.0",",,W","40.0",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-01-31","7.61",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","33","H,,S","38",",,W","27",",,W",,,"  220",",,W","  220",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,
